Date,Ticker,Market,CUR_MKT_CAP,EQY_INST_HOLD,EQY_SH_OUT,PX_LAST,ASSET_TURNOVER,BEST_PE_RATIO,BEST_PX_SALES_RATIO,BEST_SALES,BS_INVENTORIES,NUM_OF_EMPLOYEES,SALES_REV_TURN,bs_acct_payable,bs_accts_rec_excl_notes_rec
2016-12-30,1894239D SS Equity,DAX,,331.0,,,,,,,,,,,
2016-12-30,1COV GR Equity,DAX,13198.95,323.0,202.5,65.18,,,,,,,,,
2016-12-30,AAPL US Equity,DOW,585558.44,3897.0,21329.252,27.4533,,,,,,,,,
2016-12-30,ABB SS Equity,OMX,44324.273,674.0,2214.743,20.01328,,,,,,,,,
2016-12-30,ADS GR Equity,DAX,31413.8104,673.0,209.216,150.15,,,,,,,,,
2016-12-30,AIR FP Equity,DAX,48557.3509,4.0,772.714,62.84,,,,,,,,,
2016-12-30,ALFA SS Equity,OMX,6600.2097,331.0,419.456,15.73515,,,,,,,,,
2016-12-30,ALIV SS Equity,OMX,9463.469,137.0,88.224,80.22984,,,,,,,,,
2016-12-30,ALV GR Equity,DAX,71749.0,955.0,457.0,157.0,,,,,,,,,
2016-12-30,AMGN US Equity,DOW,103127.82,2405.0,743.922,138.6271,,,,,,,,,
2016-12-30,ASSAB SS Equity,OMX,19631.03,560.0,1055.05,17.64466,,,,,,,,,
2016-12-30,ATCOA SS Equity,OMX,34427.463,1.0,839.394,22.35798,,,,,,,,,
2016-12-30,ATCOB SS Equity,OMX,34427.463,2.0,390.219,19.68414,,,,,,,,,
2016-12-30,AXP US Equity,DOW,64285.691,1913.0,915.255,70.23798,,,,,,,,,
2016-12-30,AZN SS Equity,OMX,65617.786,786.0,1265.051,51.86966,,,,,,,,,
2016-12-30,BA US Equity,DOW,91097.361,2119.0,617.166,147.60595,,,,,,,,,
2016-12-30,BAS GR Equity,DAX,81110.8539,866.0,918.479,88.31,,,,,,,,,
2016-12-30,BAYN GR Equity,DAX,81975.3369,1030.0,840.313,97.553,,,,,,,,,
2016-12-30,BEI GR Equity,DAX,20311.2,457.0,252.0,80.6,,,,,,,,,
2016-12-30,BMW GR Equity,DAX,57411.7102,765.0,601.995,88.75,,,,,,,,,
2016-12-30,BNR GR Equity,DAX,8157.6,433.0,154.5,52.8,,,,,,,,,
2016-12-30,BOL SS Equity,OMX,6789.5213,428.0,273.511,24.82356,,,,,,,,,
2016-12-30,CAT US Equity,DOW,51445.558,1709.0,585.073,87.93022,,,,,,,,,
2016-12-30,CON GR Equity,DAX,36741.0988,717.0,200.006,164.112,,,,,,,,,
2016-12-30,CRM US Equity,DOW,45222.417,1293.0,696.7,64.90945,,,,,,,,,
2016-12-30,CSCO US Equity,DOW,143829.63,3103.0,5019.759,28.6527,,,,,,,,,
2016-12-30,CVX US Equity,DOW,210666.96,3032.0,1887.769,111.59571,,,,,,,,,
2016-12-30,DAI GR Equity,DAX,75658.9011,896.0,1069.837,59.366,,,,,,,,,
2016-12-30,DB1 GR Equity,DAX,14935.2604,401.0,26.749,76.42,,,,,,,,,
2016-12-30,DBK GR Equity,DAX,23792.4605,691.0,1545.39,15.396,,,,,,,,,
2016-12-30,DIS US Equity,DOW,157259.94,2852.0,1591.461,98.81483,,,,,,,,,
2016-12-30,DPW GR Equity,DAX,38760.0079,715.0,1240.916,31.235,,,,,,,,,
2016-12-30,DTE GR Equity,DAX,76490.7298,838.0,4676.902,16.355,,,,,,,,,
2016-12-30,ELUXB SS Equity,OMX,7299.5446,405.0,300.728,19.47838,,,,,,,,,
2016-12-30,EOAN GR Equity,DAX,13406.7,630.0,2001.0,6.7,,,,,,,,,
2016-12-30,ERICB SS Equity,OMX,18582.271,605.0,3069.396,5.58243,,,,,,,,,
2016-12-30,EVO SS Equity,OMX,973.9844,64.0,179.852,5.41548,,,,,,,,,
2016-12-30,FME GR Equity,DAX,24715.994,596.0,307.222,80.45,,,,,,,,,
2016-12-30,FRE GR Equity,DAX,40618.1487,713.0,546.972,74.26,,,,,,,,,
2016-12-30,GETIB SS Equity,OMX,3633.1766,299.0,225.609,12.34783,,,,,,,,,
2016-12-30,GS US Equity,DOW,94775.973,1685.0,397.649,227.03138,,,,,,,,,
2016-12-30,HD US Equity,DOW,154860.18,2593.0,1218.161,127.1262,,,,,,,,,
2016-12-30,HEI GR Equity,DAX,17585.6101,567.0,198.416,88.63,,,,,,,,,
2016-12-30,HEN3 GR Equity,DAX,45891.5403,612.0,178.163,113.25,,,,,,,,,
2016-12-30,HEXAB SS Equity,OMX,12242.142,401.0,2412.852,4.85202,,,,,,,,,
2016-12-30,HMB SS Equity,OMX,43761.595,544.0,1460.672,26.4409,,,,,,,,,
2016-12-30,HON US Equity,DOW,83713.042,2117.0,762.125,105.16805,,,,,,,,,
2016-12-30,IBM US Equity,DOW,149646.67,2719.0,950.855,150.3249,,,,,,,,,
2016-12-30,IFX GR Equity,DAX,18720.0344,631.0,1133.86,16.51,,,,,,,,,
2016-12-30,INTC US Equity,DOW,162969.12,2997.0,4739.0,34.38893,,,,,,,,,
2016-12-30,INVEB SS Equity,OMX,260069.85,397.0,1821.937,8.88233,,,,,,,,,
2016-12-30,JNJ US Equity,DOW,297176.89,3616.0,2720.532,109.23485,,,,,,,,,
2016-12-30,JPM US Equity,DOW,292754.73,3170.0,3578.264,81.81473,,,,,,,,,
2016-12-30,KINVB SS Equity,OMX,6301.3176,298.0,234.309,10.15201,,,,,,,,,
2016-12-30,KO US Equity,DOW,169541.39,2692.0,4312.959,39.30976,,,,,,,,,
2016-12-30,LIN US Equity,DAX,31710.187,1411.0,285.389,111.11216,,,,,,,,,
2016-12-30,MCD US Equity,DOW,95839.192,2446.0,830.444,115.40722,,,,,,,,,
2016-12-30,MMM US Equity,DOW,101833.56,2527.0,601.466,169.30881,,,,,,,,,
2016-12-30,MRK GR Equity,DAX,43108.2251,565.0,129.242,99.15,,,,,,,,,
2016-12-30,MRK US Equity,DOW,153894.64,2975.0,2757.137,53.22279,,,,,,,,,
2016-12-30,MSFT US Equity,DOW,458102.1,3764.0,7775.351,58.91723,,,,,,,,,
2016-12-30,MTX GR Equity,DAX,5709.6,296.0,52.0,109.8,,,,,,,,,
2016-12-30,MUV2 GR Equity,DAX,28933.3321,724.0,161.054,179.65,,,,,,,,,
2016-12-30,NDA SS Equity,OMX,42808.396,,4049.952,10.5701,,,,,,,,,
2016-12-30,NKE US Equity,DOW,80263.603,2064.0,1336.182,48.1938,,,,,,,,,
2016-12-30,PAH3 GR Equity,DAX,15845.375,354.0,153.125,51.74,,,,,,,,,
2016-12-30,PG US Equity,DOW,213328.38,3173.0,2675.992,79.71935,,,,,,,,,
2016-12-30,PUM GR Equity,DAX,3765.3372,65.0,150.825,24.965,,,,,,,,,
2016-12-30,QGEN US Equity,DAX,6190.2172,468.0,224.376,27.5886,,,,,,,,,
2016-12-30,RWE GR Equity,DAX,7142.4739,482.0,575.745,11.815,,,,,,,,,
2016-12-30,SAND SS Equity,OMX,14751.11,376.0,1254.386,11.75963,,,,,,,,,
2016-12-30,SAP GR Equity,DAX,101732.4388,991.0,1228.504,82.81,,,,,,,,,
2016-12-30,SCAB SS Equity,OMX,18923.946,548.0,640.516,5.47444,,,,,,,,,
2016-12-30,SEBA SS Equity,OMX,21875.271,439.0,2170.019,9.97012,,,,,,,,,
2016-12-30,SHBA SS Equity,OMX,25670.5,476.0,1908.9,12.65529,,,,,,,,,
2016-12-30,SIE GR Equity,DAX,99280.0,967.0,850.0,105.72,,,,,,,,,
2016-12-30,SINCH SS Equity,OMX,501.3588,21.0,495.344,1.01214,,,,,,,,,
2016-12-30,SKAB SS Equity,OMX,9426.4749,392.0,400.066,22.44451,,,,,,,,,
2016-12-30,SKFB SS Equity,OMX,7964.0012,407.0,419.053,17.48814,,,,,,,,,
2016-12-30,SRT3 GR Equity,DAX,5337.4462,194.0,37.44,70.5,,,,,,,,,
2016-12-30,SWEDA SS Equity,OMX,26021.526,517.0,1132.006,22.9871,,,,,,,,,
2016-12-30,SWMA SS Equity,OMX,5707.6191,419.0,1887.5,3.0239,,,,,,,,,
2016-12-30,SY1 GR Equity,DAX,7507.0613,432.0,129.813,57.83,,,,,,,,,
2016-12-30,TEL2B SS Equity,OMX,3896.2327,292.0,482.207,7.62237,,,,,,,,,
2016-12-30,TELIA SS Equity,OMX,16586.335,461.0,4330.085,3.83049,,,,,,,,,
2016-12-30,TRV US Equity,DOW,32970.964,1551.0,284.059,116.07092,,,,,,,,,
2016-12-30,UNH US Equity,DOW,144428.43,2183.0,951.816,151.73983,,,,,,,,,
2016-12-30,V US Equity,DOW,192893.78,2568.0,1854.961,73.97364,,,,,,,,,
