date_marker,ISIN,Cash_and_cash_equivalents,Inventory,Long-term_debt,Net_debt,Net_income,Number_of_employees,Sales,Short-term_debt,Total_interest-bearing_debt,Trade_payables,Trade_receivables
2018-09-30,CH0012221716,3244.08086331139,5232.02744329705,5698.66540187316,4936.71965770369,349.917055495148,,6094.74694448429,2482.13511914191,8180.80052101507,5015.06662122846,9715.8844327147
2018-09-30,DE0005140008,,,171048.0,37866.0,211.0,,8633.0,68008.0,239056.0,114959.0,
2018-09-30,DE0005190003,8975.0,15168.0,61153.0,89109.0,1373.0,,24715.0,36931.0,98084.0,10401.0,3031.0
2018-09-30,DE0005439004,1775.1,4690.0,1452.1,3033.7,626.1,,10787.8,3356.7,4808.8,6685.0,8485.7
2018-09-30,DE0005552004,2378.0,588.0,13396.0,13736.0,146.0,,14849.0,2718.0,16114.0,6621.0,8211.0
2018-09-30,DE0005557508,2235.0,1541.0,52738.0,56375.0,1111.0,,19104.0,5872.0,58610.0,8988.0,9331.0
2018-09-30,DE0005785604,2456.0,3179.0,14007.0,16505.0,419.0,,8192.0,4954.0,18961.0,1574.0,6569.0
2018-09-30,DE0005785802,1754.052,1453.747,5040.521,5616.002,284.614,,4057.852,2329.533,7370.054,610.775,3361.748
2018-09-30,DE0005810055,18491.4,0.0,2282.4,943.400000000001,225.0,,745.1,17152.4,19434.8,,
2018-09-30,DE0006047004,2118.9,1880.7,8880.9,8705.1,189.5,,4262.0,1943.1,10824.0,2281.1,1797.7
2018-09-30,DE0006048432,1220.0,2095.0,3076.0,3124.0,734.0,,4886.0,1268.0,4344.0,3717.0,3544.0
2018-09-30,DE0006062144,846.0,2202.0,1171.0,401.0,496.0,,3702.0,76.0,1247.0,1581.0,2118.0
2018-09-30,DE0006231004,2543.0,1480.0,1507.0,-1011.0,300.0,,2047.0,25.0,1532.0,1181.0,971.0
2018-09-30,DE0006599905,833.0,2814.0,7095.0,10228.0,321.0,,3749.0,3966.0,11061.0,2057.0,3000.0
2018-09-30,DE0006969603,367.4,888.4,0.0,-250.1,77.5,,1241.7,117.3,117.3,586.9,702.7
